Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
forties,3.874454878839559,64,28,0.00011957342181766547,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
ass ebony,3.8724528911148255,2060,900,0.0038487695147561077,0.029829832074075736,0.0016815012443109208,0.05636978579481398
ebony tits,3.872452668659851,103,45,0.00019243847573780537,0.029829832074075736,8.407506221554604e-05,0.002818489289740699
black4k blonde,3.871549184872882,71,31,0.00013265176482897263,0.029829832074075736,5.7918376192931715e-05,0.0019416259551547038
creamy black,3.8683202308122007,101,44,0.00018870180630600332,0.029829832074075736,8.220672749964502e-05,0.002755856194413128
downforbbc ebony,3.867791136532455,62,27,0.00011583675238586343,0.029829832074075736,5.0445037329327626e-05,0.0016910935738444193
old black,3.8668015715616817,216,94,0.000403560298634621,0.029829832074075736,0.00017562346329469617,0.005887510960791683
18 ebony,3.8654663772095477,253,110,0.00047268868312295883,0.029829832074075736,0.00020551681874911255,0.00688964048603282
porn black,3.864008224779551,99,43,0.00018496513687420128,0.029829832074075736,8.0338392783744e-05,0.002693223099085557
black dude,3.861985613338994,83,36,0.00015507178141978492,0.029829832074075736,6.726004977243683e-05,0.002254791431792559
africa xxx,3.857958852443616,289,125,0.0005399487328953957,0.029829832074075736,0.00023354183948762788,0.007829136915946387
ride ebony,3.8520870720337577,65,28,0.0001214417565335665,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
ebony milf,3.8447078907008283,1113,477,0.0020794565387978387,0.029829832074075736,0.000891195659484788,0.02987598647125141
dick black4k,3.8447076665800455,98,42,0.00018309680215830026,0.029829832074075736,7.847005806784297e-05,0.0026305900037579856
ebony amateur,3.8423408583182495,610,261,0.001139684176699624,0.029829832074075736,0.000487635360850167,0.016347237880496055
nasty japanese,3.838281322161459,75,32,0.00014012510369257672,0.029829832074075736,5.978671090883274e-05,0.002004259050482275
rae lil,3.8368023195894527,61,26,0.00011396841766996241,0.029829832074075736,4.85767026134266e-05,0.0016284604785168483
ebony cum,3.833900977749639,134,57,0.0002503568519307371,0.029829832074075736,0.00010649507880635832,0.003570086433671552
black nails,3.833609926783532,87,37,0.000162545120283389,0.029829832074075736,6.912838448833785e-05,0.0023174245271201303
fat black,3.8326347791727295,80,34,0.00014946677727208186,0.029829832074075736,6.352338034063478e-05,0.002129525241137417
november,3.8278092826869887,229,97,0.0004278486499413343,0.029829832074075736,0.00018122846744239923,0.006075410246774396
sexy ebony,3.8155614979728067,350,147,0.0006539171505653581,0.029829832074075736,0.00027464520323745037,0.00920706501315295
celebrity ebony,3.815561326203435,100,42,0.0001868334715901023,0.029829832074075736,7.847005806784297e-05,0.0026305900037579856
fantasy girl,3.8143340485988073,112,47,0.0002092534881809146,0.029829832074075736,8.781173164734808e-05,0.0029437554803958413
