Group,AdjustedRate,Gap_vs_Priv,threshold
Asian Women,0.18920697597894043,-0.03342076124733695,0.515
Black Women,0.17632320701534607,-0.04630453021093131,0.515
Latina Women,0.2107320540156361,-0.011895683210641272,0.515
Other,0.208741652935565,-0.013886084290712392,0.515
White Women,0.22262773722627738,0.0,0.515
Asian Women,0.18591641987495885,-0.0339306430377975,0.52
Black Women,0.17319135609145006,-0.04665570682130629,0.52
Latina Women,0.20717839374555794,-0.012668669167198415,0.52
Other,0.20535946578787617,-0.01448759712488018,0.52
White Women,0.21984706291275635,0.0,0.52
Asian Women,0.17999341888779205,-0.03429229539792222,0.525
Black Women,0.1650485436893204,-0.049237170596393875,0.525
Latina Women,0.19971570717839374,-0.014570007107320537,0.525
Other,0.19968996617812854,-0.014595748107585738,0.525
White Women,0.21428571428571427,0.0,0.525
Asian Women,0.17374136229022705,-0.03863263840494152,0.53
Black Women,0.16066395239586595,-0.05171004829930262,0.53
Latina Women,0.19438521677327647,-0.0179887839218921,0.53
Other,0.1959283670106669,-0.016445633684501665,0.53
White Women,0.21237400069516857,0.0,0.53
Asian Women,0.1681474169134584,-0.04022936445602371,0.535
